Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
O12159	reviewed	Virion infectivity factor	388812	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025)	192	IPR000475	1..192
O41799	reviewed	Virion infectivity factor	388825	Human immunodeficiency virus type 1 group M subtype G (isolate 92NG083)	192	IPR000475	1..192
O70887	reviewed	Virion infectivity factor	388814	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020)	192	IPR000475	1..192
O70897	reviewed	Virion infectivity factor	388826	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056)	192	IPR000475	1..192
O89941	reviewed	Virion infectivity factor	388824	Human immunodeficiency virus type 1 group M subtype G (isolate SE6165)	192	IPR000475	1..192
O91081	reviewed	Virion infectivity factor	388818	Human immunodeficiency virus type 1 group N (isolate YBF30)	192	IPR000475	1..192
P03402	reviewed	Virion infectivity factor	11685	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2)	192	IPR000475	1..192
P04595	reviewed	Virion infectivity factor	11720	Human immunodeficiency virus type 2 subtype A (isolate ROD)	215	IPR000475	4..193
P04596	reviewed	Virion infectivity factor	11708	Human immunodeficiency virus type 1 group M subtype D (isolate Z6)	188	IPR000475	1..186
P04597	reviewed	Virion infectivity factor	11689	Human immunodeficiency virus type 1 group M subtype D (isolate ELI)	192	IPR000475	1..192
P04598	reviewed	Virion infectivity factor	11682	Human immunodeficiency virus type 1 group M subtype B (isolate BH5)	192	IPR000475	1..192
P04599	reviewed	Virion infectivity factor	11697	Human immunodeficiency virus type 1 group M subtype A (isolate MAL)	192	IPR000475	1..192
P05898	reviewed	Virion infectivity factor	11696	Human immunodeficiency virus type 1 group M subtype B (isolate MN)	192	IPR000475	1..192
P05899	reviewed	Virion infectivity factor	11702	Human immunodeficiency virus type 1 group M subtype B (isolate SC)	109	IPR000475	1..109
P05900	reviewed	Virion infectivity factor	11701	Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3)	192	IPR000475	1..192
P05901	reviewed	Virion infectivity factor	11719	Human immunodeficiency virus type 2 subtype A (isolate NIH-Z)	215	IPR000475	4..195
P05902	reviewed	Virion infectivity factor	11734	Simian immunodeficiency virus (isolate Mm251)	214	IPR000475	4..194
P05903	reviewed	Virion infectivity factor	11733	Simian immunodeficiency virus (isolate Mm142-83)	214	IPR000475	4..193
P05904	reviewed	Virion infectivity factor	11731	Simian immunodeficiency virus agm.vervet (isolate AGM TYO-1)	235	IPR000475	4..171
P0C1K5	reviewed	Virion infectivity factor	388906	Human immunodeficiency virus type 1 group M subtype K (isolate 96CM-MP535)	192	IPR000475	1..192
P0C1K6	reviewed	Virion infectivity factor	388907	Human immunodeficiency virus type 1 group M subtype K (isolate 97ZR-EQTB11)	192	IPR000475	1..192
P0C1L8	reviewed	Virion infectivity factor	388815	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP255)	193	IPR000475	1..193
P0C1L9	reviewed	Virion infectivity factor	388823	Human immunodeficiency virus type 1 group M subtype F2 (isolate MP257)	193	IPR000475	1..193
P12452	reviewed	Virion infectivity factor	11718	Human immunodeficiency virus type 2 subtype A (isolate SBLISY)	215	IPR000475	4..195
P12503	reviewed	Virion infectivity factor	11683	Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34)	192	IPR000475	1..192
P12504	reviewed	Virion infectivity factor	11698	Human immunodeficiency virus type 1 group M subtype B (isolate NY5)	192	IPR000475	1..192
P12505	reviewed	Virion infectivity factor	11737	Simian immunodeficiency virus (isolate F236/smH4)	214	IPR000475	4..193
P15834	reviewed	Virion infectivity factor	11716	Human immunodeficiency virus type 2 subtype B (isolate D205)	216	IPR000475	4..193
P17284	reviewed	Virion infectivity factor	402771	Simian immunodeficiency virus (isolate CPZ GAB1)	193	IPR000475	1..193
P17758	reviewed	Virion infectivity factor	11713	Human immunodeficiency virus type 2 subtype A (isolate D194)	215	IPR000475	4..195
P18043	reviewed	Virion infectivity factor	11717	Human immunodeficiency virus type 2 subtype A (isolate Ghana-1)	215	IPR000475	6..195
P18097	reviewed	Virion infectivity factor	11714	Human immunodeficiency virus type 2 subtype A (isolate BEN)	215	IPR000475	4..195
P18805	reviewed	Virion infectivity factor	11695	Human immunodeficiency virus type 1 group M subtype D (isolate NDK)	192	IPR000475	1..192
P19506	reviewed	Virion infectivity factor	11738	Simian immunodeficiency virus (isolate PBj14/BCL-3)	214	IPR000475	4..193
P20877	reviewed	Virion infectivity factor	11688	Human immunodeficiency virus type 1 group M subtype B (isolate JRCSF)	192	IPR000475	1..192
P20878	reviewed	Virion infectivity factor	11721	Human immunodeficiency virus type 2 subtype A (isolate ST)	215	IPR000475	4..195
P20890	reviewed	Virion infectivity factor	11699	Human immunodeficiency virus type 1 group M subtype B (isolate OYI)	192	IPR000475	1..192
P22383	reviewed	Virion infectivity factor	11732	Simian immunodeficiency virus (isolate GB1)	172	IPR000475	7..169
P24108	reviewed	Virion infectivity factor	11715	Human immunodeficiency virus type 2 subtype A (isolate CAM2)	215	IPR000475	4..195
P24737	reviewed	Virion infectivity factor	11703	Human immunodeficiency virus type 1 group M subtype A (isolate U455)	192	IPR000475	1..192
P27974	reviewed	Virion infectivity factor	11727	Simian immunodeficiency virus agm.vervet (isolate AGM155)	232	IPR000475	4..175
P27983	reviewed	Virion infectivity factor	11730	Simian immunodeficiency virus agm.vervet (isolate AGM3)	232	IPR000475	4..172
P31820	reviewed	Virion infectivity factor	36376	Human immunodeficiency virus type 1 group M subtype B (isolate N1T-A)	192	IPR000475	1..192
P35964	reviewed	Virion infectivity factor	362651	Human immunodeficiency virus type 1 group M subtype B (isolate YU-2)	192	IPR000475	1..192
P69720	reviewed	Virion infectivity factor	11678	Human immunodeficiency virus type 1 group M subtype B (isolate BH10)	192	IPR000475	1..192
P69721	reviewed	Virion infectivity factor	11686	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI)	192	IPR000475	1..192
P69722	reviewed	Virion infectivity factor	11679	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	192	IPR000475	1..192
P69723	reviewed	Virion infectivity factor	11706	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	192	IPR000475	1..192
P89905	reviewed	Virion infectivity factor	349692	Simian immunodeficiency virus AGM.tantalus	238	IPR000475	4..183
Q02841	reviewed	Virion infectivity factor	31684	Simian immunodeficiency virus agm.grivet (isolate AGM gr-1)	219	IPR000475	4..166
Q1A248	reviewed	Virion infectivity factor	388912	Simian immunodeficiency virus (isolate EK505)	192	IPR000475	1..192
Q1A266	reviewed	Virion infectivity factor	388911	Simian immunodeficiency virus (isolate MB66)	192	IPR000475	1..192
Q70623	reviewed	Truncated virion infectivity factor	82834	Human immunodeficiency virus type 1 group M subtype B (isolate LW123)	132	IPR000475	1..132
Q74121	reviewed	Virion infectivity factor	73484	Human immunodeficiency virus type 2 subtype A (isolate KR)	215	IPR000475	4..195
Q75003	reviewed	Virion infectivity factor	388796	Human immunodeficiency virus type 1 group M subtype C (isolate ETH2220)	192	IPR000475	1..192
Q76635	reviewed	Virion infectivity factor	388822	Human immunodeficiency virus type 2 subtype B (isolate UC1)	216	IPR000475	4..194
Q77374	reviewed	Virion infectivity factor	327105	Human immunodeficiency virus type 1 group O (isolate ANT70)	192	IPR000475	1..192
Q79667	reviewed	Virion infectivity factor	388816	Human immunodeficiency virus type 1 group O (isolate MVP5180)	192	IPR000475	1..192
Q89428	reviewed	Virion infectivity factor	401671	Human immunodeficiency virus type 1 group M subtype B (strain 89.6)	192	IPR000475	1..192
Q89753	reviewed	Virion infectivity factor	388821	Human immunodeficiency virus type 2 subtype B (isolate EHO)	216	IPR000475	4..194
Q8AII0	reviewed	Virion infectivity factor	388910	Simian immunodeficiency virus (isolate TAN1)	198	IPR000475	1..197
Q9IDV7	reviewed	Virion infectivity factor	388819	Human immunodeficiency virus type 1 group N (isolate YBF106)	192	IPR000475	1..192
Q9Q719	reviewed	Virion infectivity factor	388888	Human immunodeficiency virus type 1 group M subtype H (isolate VI991)	192	IPR000475	1..192
Q9QSR2	reviewed	Virion infectivity factor	388813	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850)	192	IPR000475	1..192
Q9WC55	reviewed	Virion infectivity factor	388905	Human immunodeficiency virus type 1 group M subtype J (isolate SE9280)	192	IPR000475	1..192
Q9WC64	reviewed	Virion infectivity factor	388904	Human immunodeficiency virus type 1 group M subtype J (isolate SE9173)	192	IPR000475	1..192
